iso,Country,Region,Superregion,Country_figure
ALB,Albania,Central Europe,Central and eastern Europe,Albania
BGR,Bulgaria,Central Europe,Central and eastern Europe,Bulgaria
BIH,Bosnia and Herzegovina,Central Europe,Central and eastern Europe,Bosnia and Herzegovina
CZE,Czechia,Central Europe,Central and eastern Europe,Czechia
HRV,Croatia,Central Europe,Central and eastern Europe,Croatia
HUN,Hungary,Central Europe,Central and eastern Europe,Hungary
MKD,North Macedonia,Central Europe,Central and eastern Europe,North Macedonia
MNE,Montenegro,Central Europe,Central and eastern Europe,Montenegro
POL,Poland,Central Europe,Central and eastern Europe,Poland
ROU,Romania,Central Europe,Central and eastern Europe,Romania
SRB,Serbia,Central Europe,Central and eastern Europe,Serbia
SVK,Slovakia,Central Europe,Central and eastern Europe,Slovakia
SVN,Slovenia,Central Europe,Central and eastern Europe,Slovenia
BLR,Belarus,Eastern Europe,Central and eastern Europe,Belarus
EST,Estonia,Eastern Europe,Central and eastern Europe,Estonia
LTU,Lithuania,Eastern Europe,Central and eastern Europe,Lithuania
LVA,Latvia,Eastern Europe,Central and eastern Europe,Latvia
MDA,Moldova,Eastern Europe,Central and eastern Europe,Moldova
RUS,Russia,Eastern Europe,Central and eastern Europe,Russia
UKR,Ukraine,Eastern Europe,Central and eastern Europe,Ukraine
ARM,Armenia,Central Asia,"Central Asia, Middle East and north Africa",Armenia
AZE,Azerbaijan,Central Asia,"Central Asia, Middle East and north Africa",Azerbaijan
GEO,Georgia,Central Asia,"Central Asia, Middle East and north Africa",Georgia
KAZ,Kazakhstan,Central Asia,"Central Asia, Middle East and north Africa",Kazakhstan
KGZ,Kyrgyzstan,Central Asia,"Central Asia, Middle East and north Africa",Kyrgyzstan
MNG,Mongolia,Central Asia,"Central Asia, Middle East and north Africa",Mongolia
TJK,Tajikistan,Central Asia,"Central Asia, Middle East and north Africa",Tajikistan
TKM,Turkmenistan,Central Asia,"Central Asia, Middle East and north Africa",Turkmenistan
UZB,Uzbekistan,Central Asia,"Central Asia, Middle East and north Africa",Uzbekistan
ARE,United Arab Emirates,Middle East and north Africa,"Central Asia, Middle East and north Africa",United Arab Emirates
BHR,Bahrain,Middle East and north Africa,"Central Asia, Middle East and north Africa",Bahrain
DZA,Algeria,Middle East and north Africa,"Central Asia, Middle East and north Africa",Algeria
